"","UNICODE","pos_enc","FECHA","LATITUDE","LONGITUDE","TOTAL_C"
"1","1.10.10.100",NA,"",-16.3963243,-71.50278478,NA
"2","1.10.10.101",0,"06/12/2008",-16.39625739,-71.50273646,NA
"3","1.10.10.103",0,"06/12/2008",-16.39655306,-71.50271123,NA
"4","1.10.10.104",1,"06/12/2008",-16.39665932,-71.50284955,NA
"5","1.10.10.105",NA,"",-16.39680235,-71.50309223,NA
"6","1.10.10.106",NA,"",-16.39679712,-71.50294235,NA
"7","1.10.10.107",NA,"",-16.39679584,-71.50284061,NA
"8","1.10.10.108",0,"06/12/2008",-16.39680206,-71.50274909,NA
"9","1.10.10.109",NA,"",-16.39699589,-71.50279503,NA
"10","1.10.10.110",NA,"",-16.39703366,-71.50288514,NA
"11","1.10.10.111",NA,"",-16.39703705,-71.50294769,NA
"12","1.10.10.112",0,"06/12/2008",-16.39705731,-71.50309365,NA
"13","1.10.10.113",NA,"",-16.39698234,-71.50310108,NA
"14","1.10.10.114",NA,"",-16.3968971,-71.50310131,NA
"15","1.10.10.115",NA,"",-16.39692653,-71.50368245,NA
"16","1.10.10.116",1,"06/12/2008",-16.39705656,-71.50368063,NA
"17","1.10.10.117",0,"06/12/2008",-16.39703696,-71.50377665,NA
"18","1.10.10.118",0,"06/12/2008",-16.39706367,-71.5038848,NA
"19","1.10.10.119",NA,"",-16.39698684,-71.50387624,NA
"20","1.10.10.120",NA,"",-16.39702562,-71.50420715,NA
"21","1.10.10.121",NA,"",-16.39702418,-71.50431109,NA
"22","1.10.10.122",0,"06/12/2008",-16.39702225,-71.50438507,NA
"23","1.10.10.123",0,"06/12/2008",-16.39700164,-71.50449437,NA
"24","1.10.10.124",NA,"",-16.39697973,-71.50463045,NA
"25","1.10.10.125",NA,"",-16.39695023,-71.50471765,NA
"26","1.10.10.129",1,"06/12/2008",-16.39677855,-71.50436488,NA
"27","1.10.10.131",NA,"",-16.39681242,-71.50411499,NA
"28","1.10.10.132",NA,"",-16.39682677,-71.5039859,NA
"29","1.10.10.133",NA,"",-16.39702031,-71.50408886,NA
"30","1.10.10.147",NA,"",-16.39692138,-71.50485279,NA
"31","1.10.10.92",NA,"",-16.3964007,-71.50312635,NA
"32","1.10.10.93",0,"06/12/2008",-16.39654026,-71.50321336,NA
"33","1.10.10.94",NA,"",-16.39646914,-71.50326918,NA
"34","1.10.10.96",1,"06/12/2008",-16.39662205,-71.50304121,NA
"35","1.10.10.97",0,"06/12/2008",-16.39654659,-71.502968,NA
"36","1.10.10.98",0,"06/12/2008",-16.3964557,-71.50291252,NA
"37","1.10.10.99",NA,"",-16.39639795,-71.50284541,NA
"38","1.10.12.19",9,"",-16.39613165,-71.50219068,NA
"39","1.10.12.48",9,"",-16.39594159,-71.50154936,NA
"40","1.10.13.100",0,"01/12/2008",-16.39619999,-71.50080588,NA
"41","1.10.13.102",1,"25/11/2008",-16.39613236,-71.5005395,1
"42","1.10.13.103",1,"04/12/2008",-16.39602315,-71.50057415,35
"43","1.10.13.104",1,"27/11/2008",-16.39593693,-71.50060769,6
"44","1.10.13.109",1,"25/11/2008",-16.39607895,-71.50026625,29
"45","1.10.13.110",1,"25/11/2008",-16.3962099,-71.50023687,162
"46","1.10.13.113",0,"02/12/2008",-16.39584173,-71.49993009,NA
"47","1.10.13.114",1,"03/12/2008",-16.39594673,-71.4998971,3
"48","1.10.13.115",1,"25/11/2008",-16.39602073,-71.49990413,109
"49","1.10.13.116",1,"27/11/2008",-16.39612174,-71.49989432,2
"50","1.10.13.117",0,"01/12/2008",-16.39620705,-71.49989434,NA
"51","1.10.13.3",0,"24/11/2008",-16.39726498,-71.50315263,NA
"52","1.10.13.37",1,"24/11/2008",-16.39697513,-71.50219104,3
"53","1.10.13.38",1,"24/11/2008",-16.39668819,-71.50169541,1
"54","1.10.13.39",9,"",-16.39678654,-71.50165172,NA
"55","1.10.13.41",0,"26/11/2008",-16.39692158,-71.50193784,NA
"56","1.10.13.42",0,"03/12/2008",-16.39694147,-71.50201577,NA
"57","1.10.13.44",0,"25/11/2008",-16.39694691,-71.50246135,NA
"58","1.10.13.45",0,"25/11/2008",-16.39685179,-71.50231819,NA
"59","1.10.13.46",1,"25/11/2008",-16.39675923,-71.50219806,1
"60","1.10.13.47",0,"01/12/2008",-16.3967064,-71.50212031,NA
"61","1.10.13.48",1,"24/11/2008",-16.39666819,-71.50201747,82
"62","1.10.13.49",0,"02/12/2008",-16.39661832,-71.50190668,NA
"63","1.10.13.50",1,"02/12/2008",-16.39657887,-71.50180656,8
"64","1.10.13.51",1,"01/12/2008",-16.39647563,-71.5017351,14
"65","1.10.13.53",1,"26/11/2008",-16.39633857,-71.50159191,1
"66","1.10.13.55",0,"03/12/2008",-16.39630727,-71.50140144,NA
"67","1.10.13.56",1,"26/11/2008",-16.39624849,-71.50130084,4
"68","1.10.13.57",0,"01/12/2008",-16.39657093,-71.50150622,NA
"69","1.10.13.59",1,"25/11/2008",-16.39657589,-71.50129926,3
"70","1.10.13.60",0,"01/12/2008",-16.39663388,-71.50125373,NA
"71","1.10.13.64",0,"01/12/2008",-16.39675284,-71.50147838,NA
"72","1.10.13.88",0,"01/12/2008",-16.39651273,-71.50096658,NA
"73","1.10.13.90",1,"27/11/2008",-16.39638407,-71.50077441,2
"74","1.10.13.91",1,"27/11/2008",-16.39645654,-71.50074986,1
"75","1.10.13.96",0,"01/12/2008",-16.3962707,-71.50107243,NA
"76","1.10.13.98",0,"25/11/2008",-16.39608856,-71.50110913,NA
"77","1.10.13.99",1,"03/12/2008",-16.39606108,-71.50094582,84
"78","1.10.13A.1",1,"27/01/2009",-16.39618899,-71.49941856,12
"79","1.10.13A.10",1,"29/01/2009",-16.39598978,-71.49939379,1
"80","1.10.13A.11",1,"27/01/2009",-16.39606948,-71.49940039,3
"81","1.10.13A.119",0,"28/01/2009",-16.39459207,-71.497294,NA
"82","1.10.13A.12",0,"27/01/2009",-16.3955209,-71.49945366,NA
"83","1.10.13A.129",0,"28/01/2009",-16.39444858,-71.49672462,NA
"84","1.10.13A.13",0,"27/01/2009",-16.39553903,-71.49974589,NA
"85","1.10.13A.130",0,"27/01/2009",-16.39453145,-71.49677188,NA
"86","1.10.13A.131",0,"02/02/2009",-16.39461003,-71.49679073,NA
"87","1.10.13A.132",0,"29/01/2009",-16.39472163,-71.49690702,NA
"88","1.10.13A.133",0,"27/01/2009",-16.39474905,-71.49703156,NA
"89","1.10.13A.134",0,"30/01/2009",-16.394769,-71.49715948,NA
"90","1.10.13A.135",1,"28/01/2009",-16.39492682,-71.49701548,21
"91","1.10.13A.136",1,"02/02/2009",-16.39491818,-71.49687128,3
"92","1.10.13A.137",0,"02/02/2009",-16.39508567,-71.49689799,NA
"93","1.10.13A.138",1,"05/02/2009",-16.39528228,-71.49699398,1
"94","1.10.13A.140",0,"28/01/2009",-16.39535609,-71.49705239,NA
"95","1.10.13A.141",1,"28/01/2009",-16.39520468,-71.49704085,1
"96","1.10.13A.143",0,"28/01/2009",-16.3950357,-71.49702616,NA
"97","1.10.13A.144A",NA,NA,-16.39503993,-71.49719122,NA
"98","1.10.13A.145",0,"04/02/2009",-16.39511973,-71.49721583,NA
"99","1.10.13A.146",0,"28/01/2009",-16.395201,-71.49724783,NA
"100","1.10.13A.148",0,"29/01/2009",-16.3953913,-71.49720622,NA
"101","1.10.13A.152",0,"29/01/2009",-16.39547064,-71.4973425,NA
"102","1.10.13A.153",0,"30/01/2009",-16.39531976,-71.49740154,NA
"103","1.10.13A.155",0,"29/01/2009",-16.39513821,-71.49745034,NA
"104","1.10.13A.156",1,"28/01/2009",-16.39502815,-71.49755766,6
"105","1.10.13A.157",0,"29/01/2009",-16.39499367,-71.4974743,NA
"106","1.10.13A.158",0,"03/02/2009",-16.39499441,-71.49738897,NA
"107","1.10.13A.159",0,"02/02/2009",-16.39498906,-71.497299,NA
"108","1.10.13A.160",0,"04/02/2009",-16.39508501,-71.49771382,NA
"109","1.10.13A.161",1,"28/01/2009",-16.39519268,-71.49767248,5
"110","1.10.13A.162",1,"29/01/2009",-16.39530363,-71.49763621,21
"111","1.10.13A.163",0,"30/01/2009",-16.39538977,-71.49762085,NA
"112","1.10.13A.164",0,"30/01/2009",-16.39545631,-71.49755523,NA
"113","1.10.13A.173",1,"02/02/2009",-16.39557018,-71.49785896,6
"114","1.10.13A.174",0,"30/01/2009",-16.3955265,-71.49793377,NA
"115","1.10.13A.175",0,"27/01/2009",-16.39545409,-71.49799181,NA
"116","1.10.13A.176",1,"02/02/2009",-16.39523712,-71.49787013,161
"117","1.10.13A.177",0,"29/01/2009",-16.39576803,-71.49841487,NA
"118","1.10.13A.2",0,"28/01/2009",-16.39621419,-71.49964419,NA
"119","1.10.13A.3",0,"03/02/2009",-16.39606917,-71.49962663,NA
"120","1.10.13A.4",0,"26/01/2009",-16.39596428,-71.49965674,NA
"121","1.10.13A.40",1,"26/01/2009",-16.39474084,-71.49881398,1
"122","1.10.13A.43",1,"26/01/2009",-16.39522846,-71.49872224,6
"123","1.10.13A.44",0,"02/02/2009",-16.39532613,-71.498689,NA
"124","1.10.13A.45",0,"27/01/2009",-16.39544174,-71.49880938,NA
"125","1.10.13A.46",0,"27/01/2009",-16.39539804,-71.49888257,NA
"126","1.10.13A.47",0,"26/01/2009",-16.39529842,-71.49893289,NA
"127","1.10.13A.49",0,"27/01/2009",-16.39549052,-71.49906519,NA
"128","1.10.13A.5",1,"27/01/2009",-16.39587559,-71.49966637,2
"129","1.10.13A.50",1,"28/01/2009",-16.3955604,-71.49903914,3
"130","1.10.13A.51",0,"28/01/2009",-16.39565514,-71.49920142,NA
"131","1.10.13A.52",1,"28/01/2009",-16.39556716,-71.49922878,28
"132","1.10.13A.53",0,"26/01/2009",-16.39548105,-71.49925501,NA
"133","1.10.13A.55",0,"27/01/2009",-16.39584276,-71.49920048,NA
"134","1.10.13A.56",0,"28/01/2009",-16.39589232,-71.4991769,NA
"135","1.10.13A.57",0,"27/01/2009",-16.39594418,-71.49916443,NA
"136","1.10.13A.58",0,"28/01/2009",-16.39600634,-71.49915683,NA
"137","1.10.13A.6",1,"26/01/2009",-16.39574638,-71.49967155,8
"138","1.10.13A.60",0,"27/01/2009",-16.39588547,-71.49898028,NA
"139","1.10.13A.61",0,"02/02/2009",-16.39583266,-71.49888051,NA
"140","1.10.13A.62",0,"27/01/2009",-16.39573877,-71.49881341,NA
"141","1.10.13A.64",0,"28/01/2009",-16.39562298,-71.49864141,NA
"142","1.10.13A.67",0,"26/01/2009",-16.39545163,-71.49833049,NA
"143","1.10.13A.69",0,"27/01/2009",-16.39531297,-71.49816695,NA
"144","1.10.13A.7",1,"03/02/2009",-16.39571542,-71.49944349,262
"145","1.10.13A.70",0,"29/01/2009",-16.39508428,-71.49834184,NA
"146","1.10.13A.71",0,"26/01/2009",-16.39520899,-71.49849609,NA
"147","1.10.13A.73",0,"27/01/2009",-16.39505553,-71.49859884,NA
"148","1.10.13A.74",0,"27/01/2009",-16.39498485,-71.49847807,NA
"149","1.10.13A.75",0,"26/01/2009",-16.3949405,-71.49838591,NA
"150","1.10.13A.76",1,"26/01/2009",-16.39483734,-71.49823396,2
"151","1.10.13A.79",1,"27/01/2009",-16.39473177,-71.49777538,NA
"152","1.10.13A.8",1,"03/02/2009",-16.39583516,-71.49943541,2
"153","1.10.13A.80",1,"28/01/2009",-16.39478884,-71.49758803,NA
"154","1.10.13A.81",1,"03/02/2009",-16.39483698,-71.49772886,57
"155","1.10.13A.83",1,"29/01/2009",-16.39493988,-71.49787979,2
"156","1.10.13A.84",0,"03/02/2009",-16.39501136,-71.49796827,NA
"157","1.10.13A.85",0,"04/02/2009",-16.39507922,-71.49799458,NA
"158","1.10.13A.86",0,"27/01/2009",-16.39519326,-71.49805564,NA
"159","1.10.13A.87",0,"04/02/2009",-16.39498919,-71.49816299,NA
"160","1.10.13A.9",1,"27/01/2009",-16.39590576,-71.49943454,4
"161","1.10.14.35",0,"29/08/2008",-16.39422211,-71.49580035,NA
"162","1.10.14.36",0,"29/08/2008",-16.39410151,-71.49577829,NA
"163","1.10.14.50",9,"",-16.39399229,-71.4951621,NA
"164","1.10.14.51",0,"28/08/2008",-16.39407428,-71.49517155,NA
"165","1.10.14.52",0,"29/08/2008",-16.39416178,-71.49519574,NA
"166","1.10.14.53",0,"01/09/2008",-16.39426517,-71.49516979,NA
"167","1.10.14.67",0,"29/08/2008",-16.39454848,-71.49629839,NA
"168","1.10.14.68",0,"28/08/2008",-16.39446717,-71.49627687,NA
"169","1.10.14.70",0,"29/08/2008",-16.39486237,-71.49627768,NA
"170","1.10.2.1000",1,"30/06/2008",-16.39898188,-71.5103497,NA
"171","1.10.2.1016",9,"",-16.39864682,-71.51043159,NA
"172","1.10.2.1025",1,"01/07/2008",-16.39836138,-71.50985099,NA
"173","1.10.2.1027",1,"01/07/2008",-16.39852966,-71.50975194,NA
"174","1.10.2.1334",0,"02/07/2008",-16.39913661,-71.50905479,NA
"175","1.10.2.1336",0,"02/07/2008",-16.39901219,-71.5091107,NA
"176","1.10.2.1337",0,"02/07/2008",-16.39894659,-71.5091607,NA
"177","1.10.2.1339",1,"02/07/2008",-16.3987822,-71.50912719,NA
"178","1.10.2.1340",9,"",-16.39876245,-71.50907516,NA
"179","1.10.2.1341",9,"",-16.39872048,-71.50900874,NA
"180","1.10.2.1342",0,"02/07/2008",-16.39869862,-71.50895762,NA
"181","1.10.2.1344",0,"02/07/2008",-16.39875949,-71.50880065,NA
"182","1.10.2.1345",0,"02/07/2008",-16.39878746,-71.50875476,NA
"183","1.10.2.1346",0,"02/07/2008",-16.39885815,-71.50870542,NA
"184","1.10.2.1347",0,"02/07/2008",-16.39894448,-71.50864847,NA
"185","1.10.2.1348",0,"02/07/2008",-16.39901604,-71.50861027,NA
"186","1.10.2.1355",0,"03/07/2008",-16.39841313,-71.50898027,NA
"187","1.10.2.1358",0,"02/07/2008",-16.39850083,-71.50922598,NA
"188","1.10.2.1360",0,"02/07/2008",-16.39854905,-71.50940348,NA
"189","1.10.2.1361",0,"02/07/2008",-16.39839711,-71.50950607,NA
"190","1.10.2.1377",9,"",-16.39830261,-71.50872382,NA
"191","1.10.2.1378",0,"03/07/2008",-16.3981709,-71.50879584,NA
"192","1.10.2.1400",9,"",-16.39813267,-71.50833613,NA
"193","1.10.2.1401",0,"03/07/2008",-16.39821324,-71.50845896,NA
"194","1.10.2.1402",9,"",-16.39822299,-71.5085738,NA
"195","1.10.2.1403",0,"03/07/2008",-16.39856621,-71.5085716,NA
"196","1.10.2.1404",9,"",-16.39851169,-71.50844477,NA
"197","1.10.2.1405",NA,"",-16.39845873,-71.50835499,NA
"198","1.10.2.1406",0,"03/07/2008",-16.39841539,-71.50824963,NA
"199","1.10.2.1407",0,"03/07/2008",-16.39838186,-71.50812967,NA
"200","1.10.2.1408",0,"03/07/2008",-16.39850786,-71.50807059,NA
"201","1.10.2.1409",9,"",-16.39859139,-71.50802624,NA
"202","1.10.2.1410",0,"03/07/2008",-16.39864613,-71.50800028,NA
"203","1.10.2.1411",0,"03/07/2008",-16.39868655,-71.50795953,NA
"204","1.10.2.1429",0,"03/07/2008",-16.39882288,-71.50836927,NA
"205","1.10.2.1430",9,"",-16.39875417,-71.50844029,NA
"206","1.10.2.1431",9,"",-16.39867577,-71.50849321,NA
"207","1.10.2.1731",0,"25/06/2008",-16.39878341,-71.5075447,NA
"208","1.10.2.1732",0,"25/06/2008",-16.39869874,-71.5075857,NA
"209","1.10.2.1734",NA,"",-16.39854465,-71.50768604,NA
"210","1.10.2.1735",0,"26/06/2008",-16.39844377,-71.50775489,NA
"211","1.10.2.1737",NA,"",-16.39827507,-71.50775555,NA
"212","1.10.2.1738",NA,"",-16.39825127,-71.50766362,NA
"213","1.10.2.1739",NA,"",-16.39819788,-71.50758668,NA
"214","1.10.2.1741",NA,"",-16.3981707,-71.50740311,NA
"215","1.10.2.1742",NA,"",-16.3982396,-71.50736262,NA
"216","1.10.2.1743",NA,"",-16.39832675,-71.50730394,NA
"217","1.10.2.1745",1,"26/06/2008",-16.39842924,-71.50723051,NA
"218","1.10.2.1746",1,"26/06/2008",-16.39848539,-71.50719382,NA
"219","1.10.2.1747",1,"26/06/2008",-16.39854867,-71.50714648,NA
"220","1.10.2.1758",0,"26/06/2008",-16.39804307,-71.50800065,NA
"221","1.10.2.1759",NA,"",-16.39797125,-71.50805897,NA
"222","1.10.2.1787",1,"26/06/2008",-16.39780319,-71.50766122,NA
"223","1.10.2.1788",1,"26/06/2008",-16.39788815,-71.50759815,1
"224","1.10.2.1789",NA,"",-16.39793068,-71.50773534,NA
"225","1.10.2.1790",1,"26/06/2000",-16.39797662,-71.50786321,NA
"226","1.10.2.1791",1,"26/06/2008",-16.39776008,-71.50735128,NA
"227","1.10.2.1817",0,"30/06/2008",-16.39763136,-71.50694758,NA
"228","1.10.2.1818",0,"30/06/2008",-16.39766612,-71.50705289,NA
"229","1.10.2.1819",9,"",-16.39768825,-71.50710971,NA
"230","1.10.2.1820",1,"26/06/2008",-16.39771831,-71.50718922,NA
"231","1.10.2.1821",1,"26/06/2008",-16.39773937,-71.50723013,NA
"232","1.10.2.1823",9,"",-16.39795261,-71.50702947,NA
"233","1.10.2.1824",0,"30/06/2008",-16.39792663,-71.50697059,NA
"234","1.10.2.1824A",NA,NA,-16.39791928,-71.50690488,NA
"235","1.10.2.1825",0,"30/06/2008",-16.39786181,-71.50679461,NA
"236","1.10.2.1826",9,"",-16.39798427,-71.50673691,NA
"237","1.10.2.1827",0,"30/06/2008",-16.39804896,-71.50666703,NA
"238","1.10.2.1828",0,"30/06/2008",-16.39812541,-71.50662661,NA
"239","1.10.2.1829",1,"30/06/2008",-16.39827478,-71.50652306,NA
"240","1.10.2.1830",0,"30/06/2008",-16.39837207,-71.50644754,NA
"241","1.10.2.1857",9,"",-16.39847886,-71.50688766,NA
"242","1.10.2.1860",9,"",-16.39830361,-71.50700937,NA
"243","1.10.2.1861",0,"30/06/2008",-16.39825221,-71.50704681,NA
"244","1.10.2.1862",0,"30/06/2008",-16.39819372,-71.507081,NA
"245","1.10.2.1863",0,"30/06/2008",-16.39811765,-71.50713336,NA
"246","1.10.2.2178",0,"02/07/2008",-16.39823863,-71.5062096,NA
"247","1.10.2.2179",0,"02/07/2008",-16.39819604,-71.50624137,NA
"248","1.10.2.2180",9,"",-16.39815551,-71.50627693,NA
"249","1.10.2.2181",9,"",-16.39809266,-71.50631593,NA
"250","1.10.2.2182",9,"",-16.3980582,-71.50634211,NA
"251","1.10.2.2183",0,"02/07/2008",-16.39799883,-71.50637512,NA
"252","1.10.2.2186",0,"02/07/2008",-16.39778031,-71.50650877,NA
"253","1.10.2.2188",0,"02/07/2008",-16.39769719,-71.50624319,NA
"254","1.10.2.2189",0,"02/07/2008",-16.39764415,-71.50613112,NA
"255","1.10.2.2191",9,"",-16.39779024,-71.50600446,NA
"256","1.10.2.2192",9,"",-16.39784591,-71.50598155,NA
"257","1.10.2.2193A",NA,NA,NA,NA,NA
"258","1.10.2.2194",0,"02/07/2008",-16.39801171,-71.50587879,NA
"259","1.10.2.2195",0,"02/07/2008",-16.39808157,-71.50581296,NA
"260","1.10.2.2195A",NA,NA,-16.39810644,-71.50580266,NA
"261","1.10.2.2196",9,"",-16.39813208,-71.50577668,NA
"262","1.10.2.2206",0,"02/07/2008",-16.39752473,-71.50664674,NA
"263","1.10.2.2234",0,"02/07/2008",-16.39736229,-71.50631258,NA
"264","1.10.2.2235",1,"02/07/2008",-16.39746163,-71.50651991,NA
"265","1.10.2.2236",0,"02/07/2008",-16.39731958,-71.50606061,NA
"266","1.10.2.2258",9,"",-16.39782807,-71.50560955,NA
"267","1.10.2.2259",0,"02/07/2008",-16.39781767,-71.5054694,NA
"268","1.10.2.2260",9,"",-16.39800131,-71.50534426,NA
"269","1.10.2.2269",0,"02/07/2008",-16.39800431,-71.50550201,NA
"270","1.10.2.2270",0,"02/07/2008",-16.39792571,-71.50554515,NA
"271","1.10.2.2271",0,"02/07/2008",-16.39784114,-71.50529012,NA
"272","1.10.2.2272",9,"",-16.39783334,-71.50511149,NA
"273","1.10.2.2299",0,"02/07/2008",-16.39796065,-71.50515814,NA
"274","1.10.2.978",0,"30/06/2008",-16.39912367,-71.51008026,NA
"275","1.10.2.980",0,"30/06/2008",-16.39905951,-71.50985472,NA
"276","1.10.2.981",9,"",-16.39902205,-71.50972196,NA
"277","1.10.2.982",1,"30/06/2008",-16.39890357,-71.50954353,NA
"278","1.10.2.983",0,"19/07/2008",-16.39897982,-71.50948878,NA
"279","1.10.2.988",0,"19/07/2008",-16.39927768,-71.50930646,NA
"280","1.10.2.992",1,"30/06/2008",-16.39865532,-71.50964392,NA
"281","1.10.2.993",0,"19/07/2008",-16.39871228,-71.50972668,NA
"282","1.10.2.994",1,"30/06/2008",-16.39875287,-71.50980993,NA
"283","1.10.2.995",0,"30/06/2008",-16.39877798,-71.50986888,NA
"284","1.10.2.996",0,"30/06/2008",-16.39881473,-71.5099958,NA
"285","1.10.2.997",1,"01/07/2008",-16.39888017,-71.51010749,NA
"286","1.10.2.998",0,"30/06/2008",-16.39891426,-71.51015216,NA
"287","1.10.2.999",1,"30/06/2008",-16.39895022,-71.51026779,NA
"288","1.10.9.100",0,"20/08/2008",-16.39742918,-71.50346388,NA
"289","1.10.9.107",0,"20/08/2008",-16.39743764,-71.50366309,NA
"290","1.10.9.108",0,"20/08/2008",-16.39733006,-71.50368171,NA
"291","1.10.9.2",0,"20/08/2008",-16.39731005,-71.50590293,NA
"292","1.10.9.38",0,"19/08/2008",-16.39716073,-71.50537261,NA
"293","1.10.9.39",0,"19/08/2008",-16.39715616,-71.50528865,NA
"294","1.10.9.41",0,"19/08/2008",-16.39713086,-71.50505692,NA
"295","1.10.9.47",0,"21/11/2008",-16.39731592,-71.50535618,NA
"296","1.10.9.47A",NA,NA,-16.39730992,-71.50538205,NA
"297","1.10.9.48",1,"19/08/2008",-16.3973832,-71.50543468,1
"298","1.10.9.50",0,"19/08/2008",-16.39742705,-71.50564102,NA
"299","1.10.9.53",0,"19/08/2008",-16.39751621,-71.50555351,NA
"300","1.10.9.54",0,"19/08/2008",-16.39762903,-71.50500637,NA
"301","1.10.9.55",0,"21/11/2008",-16.39764411,-71.50508873,NA
"302","1.10.9.56",0,"20/08/2008",-16.39766868,-71.50515621,NA
"303","1.10.9.57",0,"20/08/2008",-16.39765917,-71.50522504,NA
"304","1.10.9.58",0,"20/08/2008",-16.39766313,-71.50529293,NA
"305","1.10.9.59",0,"20/08/2008",-16.3976703,-71.50538236,NA
"306","1.10.9.60",0,"19/08/2008",-16.39765082,-71.50543682,NA
"307","1.10.9.61",0,"20/08/2008",-16.39764166,-71.50549501,NA
"308","1.10.9.62",0,"20/08/2008",-16.39764569,-71.50554709,NA
"309","1.10.9.63",0,"21/08/2008",-16.39743234,-71.50522325,NA
"310","1.10.9.64",1,"19/08/2008",-16.39739446,-71.50516577,1
"311","1.10.9.65",1,"19/08/2008",-16.39735617,-71.5050942,3
"312","1.10.9.68",0,"21/11/2008",-16.3972483,-71.50476575,NA
"313","1.10.9.69",0,"21/08/2008",-16.39720282,-71.50464292,NA
"314","1.10.9.70",0,"20/08/2008",-16.39720466,-71.50455777,NA
"315","1.10.9.71",0,"20/08/2008",-16.39719915,-71.50448085,NA
"316","1.10.9.72",0,"20/08/2008",-16.39720141,-71.50437846,NA
"317","1.10.9.73",0,"19/08/2008",-16.3971963,-71.50430174,NA
"318","1.10.9.74",0,"18/08/2008",-16.39720119,-71.50422607,NA
"319","1.10.9.75",1,"18/08/2008",-16.39722103,-71.50414991,NA
"320","1.10.9.76",1,"20/08/2008",-16.39724727,-71.50405315,41
"321","1.10.9.77",0,"21/08/2008",-16.39723561,-71.50395625,NA
"322","1.10.9.78",1,"20/08/2008",-16.39720864,-71.50385557,11
"323","1.10.9.80",0,"19/08/2008",-16.39747148,-71.50383024,NA
"324","1.10.9.86",0,"20/08/2008",-16.39760065,-71.50421141,NA
"325","1.10.9.88",0,"20/08/2008",-16.39752687,-71.50433798,NA
"326","1.10.9.89",0,"20/08/2008",-16.39751942,-71.50441265,NA
"327","1.10.9.90",0,"20/08/2008",-16.39748879,-71.50447754,NA
"328","1.10.9.91",0,"21/11/2008",-16.39745959,-71.5045669,NA
"329","1.10.9.92",0,"21/08/2008",-16.39746611,-71.50465384,NA
"330","1.10.9.94",1,"21/11/2008",-16.39751274,-71.50485008,109
"331","1.10.9.95",0,"21/11/2008",-16.3975235,-71.50492471,NA
"332","1.10.9.96",0,"21/08/2008",-16.39748645,-71.50500767,NA
"333","1.10.9.97",0,"20/08/2008",-16.3972226,-71.50369825,NA
"334","1.10.9.98",0,"20/08/2008",-16.39720262,-71.50353083,NA
"335","1.10.9.99",0,"20/08/2008",-16.39731588,-71.50350178,NA
