"UNICODE","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.4.15.23",0,0,"0",1,0,0,1,0,0,0
"1.4.17.282A",0,0,"0",1,0,1,0,0,0,0
"1.4.17.284A",0,0,"0",1,0,1,0,0,0,0
"1.4.17.302B",0,0,"0",1,0,1,0,0,0,0
"1.4.17.324A",0,0,"0",1,0,1,0,0,0,0
"1.4.21.279A",0,0,"0",1,0,0,0,1,0,0
"1.4.21.288A",0,0,"0",1,0,1,0,0,0,0
"1.4.21.365A",0,0,"0",1,0,0,1,0,0,0
"1.4.21.366A",0,0,"0",1,0,1,0,0,0,0
"1.4.37.82A",0,0,"0",1,0,1,0,0,0,0
"1.4.37.92A",0,0,"0",1,0,1,0,0,0,0
"1.4.40.179",0,0,"0",1,0,0,0,0,1,0
"1.4.40.40A",0,0,"0",1,0,1,0,0,0,0
"1.4.40.43A",0,0,"0",1,0,1,0,0,0,0
"1.4.40.43B",0,0,"0",1,0,1,0,0,0,0
"1.4.40.60A",0,0,"0",1,0,1,0,0,0,0
"1.4.21.279A",0,0,"0",1,0,0,0,0,0,0
"1.4.47.298A",0,0,"0",1,0,1,0,0,0,0
"1.4.47.299A",0,0,"0",1,0,1,0,0,0,0
"1.4.47.549F",0,0,"0",1,0,1,0,0,0,0
"1.4.47.740C",0,0,"0",1,0,1,0,0,0,0
"1.4.47.760A",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773A",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773B",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773C",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773E",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773F",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773G",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773Y",0,0,"0",1,0,1,0,0,0,0
"1.4.47.773AB",0,0,"0",1,0,1,0,0,0,0
"1.4.51.71A",0,0,"0",1,0,0,1,0,0,0
"1.4.51.53A",0,0,"0",1,0,0,1,0,0,0
"1.4.16.",0,0,"0",1,0,0,1,0,0,0
"1.4.14.236",0,0,"0",1,0,1,0,0,0,0
"1.4.51.6A",0,0,"0",2,0,1,0,0,0,0
"1.4.51.6B",0,0,"0",2,0,1,0,0,0,0
"1.4.51.45A",0,0,"0",2,0,1,0,0,0,0
"1.4.51.71A",0,0,"0",2,0,1,0,0,0,0
"1.4.51.71B",0,0,"0",2,0,1,0,0,0,0
"1.4.16.148A",0,0,"0",2,0,0,1,0,0,0
"1.4.16.50A",0,0,"0",2,0,1,0,0,0,0
"1.4.16.189A",0,0,"0",2,0,1,0,0,0,0
"1.4.16.446B",0,0,"0",2,0,1,0,0,0,0
"1.4.14.179",0,0,"0",2,0,0,1,0,0,0
"1.4.14.180",0,0,"0",2,0,0,1,0,0,0
"1.4.14.195A",0,0,"0",2,0,0,1,0,0,0
"1.4.41.282C",0,0,"0",2,0,0,1,0,0,0
"1.4.17.282A",0,0,"0",2,0,0,1,0,0,0
"1.4.40.179",0,0,"0",2,0,0,0,0,1,0
"1.4.47.298B",0,0,"0",2,0,0,1,0,0,0
"1.4.47.882A",0,0,"0",2,0,0,1,0,0,0
"1.4.47.288A",0,0,"0",2,0,1,0,0,0,0
"1.4.47.288B",0,0,"0",2,0,1,0,0,0,0
"1.4.47.288C",0,0,"0",2,0,1,0,0,0,0
"1.4.47.299A",0,0,"0",2,0,1,0,0,0,0
"1.4.47.330A",0,0,"0",2,0,1,0,0,0,0
"1.4.47.549C",0,0,"0",2,0,1,0,0,0,0
"1.4.47.740B",0,0,"0",2,0,1,0,0,0,0
"1.4.96.456A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.459A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.459B",0,0,"0",2,0,1,0,0,0,0
"1.4.96.492A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.496A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.497A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.503A",0,0,"0",2,0,1,0,0,0,0
"1.4.96.516A",0,0,"0",1,0,1,0,0,0,0
"1.4.96.516B",0,0,"0",1,0,1,0,0,0,0
"1.4.96.516C",0,0,"0",1,0,1,0,0,0,0
"1.4.14.176",NA,NA,"11/17/15",1,1,0,0,0,0,0
"1.4.14.179",NA,NA,"2/3/16",1,1,0,0,0,0,0
"1.4.14.180",NA,NA,"2/5/16",1,1,0,0,0,0,0
"1.4.14.182A",NA,NA,"6/1/16",2,1,0,0,0,0,0
"1.4.14.176",NA,NA,"6/29/16",2,1,0,0,0,0,0
"1.4.14.236",NA,NA,"6/29/16",2,1,0,0,0,0,0
"1.4.15.23",NA,NA,"11/18/15",1,1,0,0,0,0,0
"1.4.15.23",NA,NA,"6/7/16",2,1,0,0,0,0,0
"1.4.15.34A",NA,NA,"6/15/16",2,1,0,0,0,0,0
"1.4.16.138F",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138E",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138K",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138F",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138J",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138M",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138E",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138C",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138G",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138K",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138A",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138G",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138C",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138I",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138M",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.446B",NA,NA,"11/10/15",1,1,0,0,0,0,0
"1.4.16.50A",NA,NA,"10/26/15",1,1,0,0,0,0,0
"1.4.16.138N",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138H",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138L",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138D",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138I",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.138B",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.151A",NA,NA,"1/7/16",1,1,0,0,0,0,0
"1.4.16.151A",NA,NA,"1/7/16",1,1,0,0,0,0,0
"1.4.16.389A",NA,NA,"11/16/15",1,1,0,0,0,0,0
"1.4.16.189A",NA,NA,"11/16/15",1,1,0,0,0,0,0
"1.4.16.112A",NA,NA,"11/3/15",1,1,0,0,0,0,0
"1.4.16.265A",NA,NA,"11/27/15",1,1,0,0,0,0,0
"1.4.16.201A",NA,NA,"4/22/16",2,1,0,0,0,0,0
"1.4.16.66A",NA,NA,"5/16/16",2,1,0,0,0,0,0
"1.4.16.21A",NA,NA,"5/16/16",2,1,0,0,0,0,0
"1.4.16.128A",NA,NA,"5/2/16",2,1,0,0,0,0,0
"1.4.16.148B",NA,NA,"5/18/16",2,1,0,0,0,0,0
"1.4.16.398B",NA,NA,"6/7/16",2,1,0,0,0,0,0
"1.4.16.138A",NA,NA,"6/22/16",2,1,0,0,0,0,0
"1.4.16.396A",NA,NA,"4/22/16",2,1,0,0,0,0,0
"1.4.16.201B",NA,NA,"4/22/16",2,1,0,0,0,0,0
"1.4.16.375B",NA,NA,"4/25/16",2,1,0,0,0,0,0
"1.4.16.375C",NA,NA,"4/25/16",2,1,0,0,0,0,0
"1.4.16.375A",NA,NA,"4/25/16",2,1,0,0,0,0,0
"1.4.16.309B",NA,NA,"4/28/16",2,1,0,0,0,0,0
"1.4.16.143A",NA,NA,"5/10/16",2,1,0,0,0,0,0
"1.4.16.381A",NA,NA,"5/2/16",2,1,0,0,0,0,0
"1.4.16.105A",NA,NA,"5/5/16",2,1,0,0,0,0,0
"1.4.16.144A",NA,NA,"5/6/16",2,1,0,0,0,0,0
"1.4.17.169",NA,NA,"1/11/16",1,1,0,0,0,0,0
"1.4.17.324A",NA,NA,"5/13/16",2,1,0,0,0,0,0
"1.4.17.303A",NA,NA,"5/11/16",2,1,0,0,0,0,0
"1.4.17.169",NA,NA,"5/17/16",2,1,0,0,0,0,0
"1.4.17.302C",NA,NA,"5/11/16",2,1,0,0,0,0,0
"1.4.17.165A",NA,NA,"5/16/16",2,1,0,0,0,0,0
"1.4.17.284A",NA,NA,"5/26/16",2,1,0,0,0,0,0
"1.4.21.335A",NA,NA,"4/14/16",2,1,0,0,0,0,0
"1.4.21.279A",NA,NA,"4/18/16",2,1,0,0,0,0,0
"1.4.21.366A",NA,NA,"4/18/16",2,1,0,0,0,0,0
"1.4.21.288A",NA,NA,"5/4/16",2,1,0,0,0,0,0
"1.4.236.182A",2,0,"10/10/16",1,1,0,0,0,0,0
"1.4.24.84C",NA,NA,"6/2/16",2,1,0,0,0,0,0
"1.4.24.84B",NA,NA,"6/29/16",2,1,0,0,0,0,0
"1.4.37.92A",NA,NA,"5/6/16",2,1,0,0,0,0,0
"1.4.37.82A",NA,NA,"5/10/16",2,1,0,0,0,0,0
"1.4.40.161B",NA,NA,"12/2/15",1,1,0,0,0,0,0
"1.4.40.170A",NA,NA,"6/2/16",2,1,0,0,0,0,0
"1.4.40.174A",NA,NA,"6/14/16",2,1,0,0,0,0,0
"1.4.40.43B",NA,NA,"6/10/16",2,1,0,0,0,0,0
"1.4.40.43A",NA,NA,"6/10/16",2,1,0,0,0,0,0
"1.4.40.343A",NA,NA,"6/23/16",2,1,0,0,0,0,0
"1.4.40.40A",NA,NA,"5/27/16",2,1,0,0,0,0,0
"1.4.40.360B",NA,NA,"6/24/16",2,1,0,0,0,0,0
"1.4.40.345A",NA,NA,"6/22/16",2,1,0,0,0,0,0
"1.4.41.269B",NA,NA,"1/22/16",1,1,0,0,0,0,0
"1.4.41.541A",NA,NA,"1/22/16",1,1,0,0,0,0,0
"1.4.41.541A",NA,NA,"6/24/16",2,1,0,0,0,0,0
"1.4.41.269B",NA,NA,"7/12/16",2,1,0,0,0,0,0
"1.4.43.66A",NA,NA,"2/1/16",1,1,0,0,0,0,0
"1.4.43.74A",NA,NA,"2/2/16",1,1,0,0,0,0,0
"1.4.43.66A",NA,NA,"7/8/16",2,1,0,0,0,0,0
"1.4.43.74A",NA,NA,"7/5/16",2,1,0,0,0,0,0
"1.4.45.121A",NA,NA,"2/18/16",1,1,0,0,0,0,0
"1.4.45.111A",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.45.111B",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.45.139A",NA,NA,"7/22/16",2,1,0,0,0,0,0
"1.4.45.111A",NA,NA,"7/24/16",2,1,0,0,0,0,0
"1.4.45.121A",NA,NA,"7/14/16",2,1,0,0,0,0,0
"1.4.45.111B",NA,NA,"7/25/16",2,1,0,0,0,0,0
"1.4.47.1124A",NA,NA,"2/19/16",1,1,0,0,0,0,0
"1.4.47.1124C",NA,NA,"1/27/16",1,1,0,0,0,0,0
"1.4.47.1121A",NA,NA,"2/2/16",1,1,0,0,0,0,0
"1.4.47.746A",NA,1,"2/2/16",1,1,0,0,0,0,0
"1.4.47.549A",NA,NA,"2/9/16",1,1,0,0,0,0,0
"1.4.47.549E",NA,NA,"2/9/16",1,1,0,0,0,0,0
"1.4.47.334A",NA,NA,"2/9/16",1,1,0,0,0,0,0
"1.4.47.300A",NA,NA,"2/16/16",1,1,0,0,0,0,0
"1.4.47.347A",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.47.298B",NA,NA,"2/22/16",1,1,0,0,0,0,0
"1.4.47.883B",NA,NA,"1/18/16",1,1,0,0,0,0,0
"1.4.47.701A",NA,NA,"1/18/16",1,1,0,0,0,0,0
"1.4.47.882C",NA,NA,"1/21/16",1,1,0,0,0,0,0
"1.4.47.912A",NA,NA,"1/21/16",1,1,0,0,0,0,0
"1.4.47.882A",NA,NA,"1/21/16",1,1,0,0,0,0,0
"1.4.47.910A",NA,NA,"1/26/16",1,1,0,0,0,0,0
"1.4.47.1119B",NA,NA,"1/29/16",1,1,0,0,0,0,0
"1.4.47.869B",NA,NA,"2/5/16",1,1,0,0,0,0,0
"1.4.47.868A",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.47.869A",NA,NA,"2/18/16",1,1,0,0,0,0,0
"1.4.47.918A",NA,NA,"2/18/16",1,1,0,0,0,0,0
"1.4.47.902A",NA,NA,"2/19/16",1,1,0,0,0,0,0
"1.4.47.692A",NA,NA,"1/19/16",1,1,0,0,0,0,0
"1.4.47.884A",NA,NA,"1/20/16",1,1,0,0,0,0,0
"1.4.47.756A",NA,NA,"2/1/16",1,1,0,0,0,0,0
"1.4.47.876A",NA,NA,"2/2/16",1,1,0,0,0,0,0
"1.4.47.1121C",NA,NA,"2/2/16",1,1,0,0,0,0,0
"1.4.47.580A",NA,NA,"2/3/16",1,1,0,0,0,0,0
"1.4.47.580B",NA,NA,"2/3/16",1,1,0,0,0,0,0
"1.4.47.740B",NA,NA,"2/4/16",1,1,0,0,0,0,0
"1.4.47.549D",NA,NA,"2/9/16",1,1,0,0,0,0,0
"1.4.47.886A",NA,NA,"2/9/16",1,1,0,0,0,0,0
"1.4.47.549C",NA,NA,"2/10/16",1,1,0,0,0,0,0
"1.4.47.773H",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.47.773I",NA,NA,"2/17/16",1,1,0,0,0,0,0
"1.4.47.746B",NA,NA,"2/18/16",1,1,0,0,0,0,0
"1.4.47.882B",NA,NA,"1/18/16",1,1,0,0,0,0,0
"1.4.47.882B",NA,NA,"1/18/16",1,1,0,0,0,0,0
"1.4.47.888A",NA,NA,"1/19/16",1,1,0,0,0,0,0
"1.4.47.692B",0,NA,"1/20/16",1,1,0,0,0,0,0
"1.4.47.911A",NA,NA,"1/20/16",1,1,0,0,0,0,0
"1.4.47.1097C",NA,NA,"1/26/16",1,1,0,0,0,0,0
"1.4.47.1097A",NA,NA,"1/26/16",1,1,0,0,0,0,0
"1.4.47.1097B",NA,NA,"1/26/16",1,1,0,0,0,0,0
"1.4.47.743A",NA,NA,"2/1/16",1,1,0,0,0,0,0
