codloc,localidad,codigo,numviv,coddist,codint
00002,La Pascana-San Martín,1,28,00003,0001
00004,Las Rocas,1,159,00004,0001
00005,Yumina,6,209,00004,0006
00006,San Antonio,3,212,00005,0003
00007,Los Pinos,5,21,00004,0005
00008,Yanayaco,3,75,00006,0003
00009,Cerrillo,4,156,00006,0004
00010,Alcosa-Pajonal-El Mirador,1,155,00007,0001
00011,P.T. Yarabamba,5,143,00005,0005
00012,P.T. Mollebaya,7,140,00007,0007
00013,P.T. Characato,7,197,00006,0007
00014,San Isidro,4,237,00007,0004
00015,Señor de los Milagros,2,36,00007,0002
00016,Santa Ana,6,82,00007,0006
00017,Chapi Ladrillerias,3,132,00007,0003
00018,Machahuaya-Ampl. Santa Ana-Rosa de Santa Maria,5,168,00007,0005
00019,Gustavo Mohme,11,836,00006,0011
00020,Villa Don Fabio,19,59,00006,0019
00021,San Francisco,8,221,00006,0008
00022,Asovich,21,269,00006,0021
00023,28 de Julio,9,124,00006,0009
00024,Jorge Chávez,96,704,00001,0096
00025,Cerro San Cosme,10,120,00006,0010
00026,Ampliación San Francisco,20,90,00006,0020
00027,Ampliación Characato,14,530,00006,0014
00028,Cesar Vallejo,80,338,00001,0080
00029,15 de Agosto,95,817,00001,0095
00030,Balcones de Umapalca,23,112,00006,0023
00031,Nuevo Characato,12,274,00006,0012
00032,Miguel Grau Zona A,100,1518,00001,0100
00033,Villa Los Sauces y Angeles Negros,97,72,00001,0097
00034,Villa Jesús,35,56,00001,0035
00035,Sr. de los Milagros,40,212,00001,0040
00036,Miguel Grau Zona D,104,995,00001,0104
00037,Porvenir de Jesús,34,104,00001,0034
00038,Balneario de Jesús,32,175,00001,0032
00039,Miguel Grau Zona B,99,1662,00001,0099
00040,Ayo,1,219,00008,0001
00041,Utme,2,27,00008,0002
00042,Acho,3,86,00008,0003
00043,Villa Belén,98,46,00001,0098
00044,Miguel Grau Zona C,105,522,00001,0105
00045,Villa Pacifico,102,40,00001,0102
00046,Hijos de Grau-Alameda Chorrillos,101,17,00001,0101
00047,Anta-Cilco,4,33,00008,0004
00048,Villa Miguel Grau,106,52,00001,0106
00049,29 de Agosto-San Miguel Grau,103,60,00001,0103
00050,Alexander Von Humboltd,107,96,00001,0107
00051,Villa Ecológica-San Antonio,99A,24,00001,0099
00052,Rancheria-Laderas,1,38,00009,
00053,San Basilio-Cujan,8,66,00009,
00054,Generalísimo San Martín,37,2022,00010,
00055,Subna,5,29,00008,
00056,Santa Rosa,38,1699,00010,
00057,Buena Vista,15,273,00010,
00058,Ampliación Atalaya,13A,239,00010,
00059,Jerusalén,36,535,00010,
00060,PP. JJ. Las Rocas,14A,44,00010,
00061,La Rinconada-Villa María del Triunfo,16,134,00010,
00062,Los Balcones,12,113,00010,
00063,Atalaya,13,366,00010,
00064,PP. JJ. Mariano Bustamante,10,147,00010,
00065,Santo Domingo,11,158,00010,
00066,Cerro La Chilca,9,108,00010,
00067,Santa Rita de Casia,3,271,00010,
00068,P.T. Mariano Melgar,2,2605,00010,
00069,Mariano Bustamante,4,170,00010,
00070,Héroes del Cenepa Zona B,28,143,00010,
00071,Cerro San Jacinto,20,76,00011,
00072,Carmen Alto,34,168,00011,
00073,Acequia Alta,36,755,00011,
00074,Upis Deán Valdivia,49,363,00011,
00075,Ampliación La Tomilla,39,1367,00011,
00076,Juan Velasco Alvarado,40,332,00011,
00077,María Parado de Bellido,46,97,00011,
00078,P.T. La Tomilla,37,410,00011,
00079,Santa Rosa de Lima,59,121,00011,
00080,Comité 14,74,407,00011,
00081,Virgen de la Candelaria,72,88,00011,
00082,Las Malvinas,71,478,00011,
00083,Buenos Aires,69,987,00011,
00084,Casimiro Cuadros II,70,385,00011,
00085,Francisco Bolognesi,43,831,00011,
00086,Casimiro Cuadros I,77,297,00011,
00087,Villa Continental,75,509,00011,
00088,San Martín de Porres,47,269,00011,
00089,AA.HH. El Porvenir - Modulo III,1,301,00012,
00090,Mochica Baja,1A,75,00012,
00091,P.T. Jaqui - Modulo I,2,196,00012,
00092,AA.HH. El Porvenir - Modulo II,3,200,00012,
00093,AA.HH. El Porvenir - Modulo IV,4,296,00012,
00094,Señor de la Caña,2,90,00011,
00095,Sector IX Enace,96,347,00011,
00096,José Carlos Mariategui,79,225,00011,
00097,Quiñones - Ampliación Quiñones,50,164,00011,
00098,Sector II Enace,88,363,00011,
00099,San Miguel,83,193,00011,
00100,Señor de Huanca,84,302,00011,
00101,José Olaya Zona A,54,214,00011,
00102,Desc. Rafael Belaunde y El Gran Caimán,58,61,00011,
00103,Prolongación Goyeneche,27,125,00013,
00104,PP.JJ. Tahuantinsuyo,34,149,00013,
00105,Juan XXIII A,41,133,00013,
00106,Fuerte Arica,35,50,00013,
00107,Villa Familia-Nuevo Amanecer,30,44,00013,
00108,Los Incas,32,54,00013,
00109,Señor de Coyllorite,38,100,00013,
00110,Edificadores Misti B,18,773,00013,
00111,El Porvenir Miraflores,22,1003,00013,
00112,La Isla,28,16,00013,
00113,Cooperativa 14,16,428,00013,
00114,Solidaridad-Ampliación Misti,21,234,00013,
00115,Señor de los Milagros-Los Olivos,33,65,00013,
00116,Malecón Iquique,19,73,00013,
00117,Garcilaso de la Vega,17,70,00013,
00118,Urb. Chapi Chico,12,177,00013,
00119,Terminal Calvario,11,48,00013,
00120,Parque Artesanal-Ulrich Neisser-Los Claveles,25,147,00013,
00121,Edificadores Misti A,14,706,00013,
00122,Francisco Mostajo,24,66,00013,
00123,Peñón Alfonso Ugarte-Las Peñas,20,133,00013,
00124,Villa Esperanza,26,79,00013,
00125,Mateo Pumacahua,55,240,00013,
00126,Las Palmeras-Los Guindos,13,175,00013,
00127,Cercado-La Chavela,10,363,00013,
00128,P.T. Miraflores Parte Intermedia,9,1415,00013,
00129,Galaxias A,45,366,00013,
00130,Tomasa Tito Condemayta,52,282,00013,
00131,Cooperativa Sáenz Peña,1,344,00013,
00132,Cooperativa San Antonio,2,661,00013,
00133,Malecón Chorrillos,5,204,00013,
00134,Cuartel General Salaverry,7,46,00013,
00135,P.T. Miraflores Parte Baja,3,1178,00013,
00136,Villa Goyeneche,29,61,00013,
00137,Cristo Blanco,53,103,00013,
00138,Urb. Apurímac,34,735,00014,
00139,Ampliación Villa Unión,39,272,00014,
00140,San Luís,42,179,00014,
00141,Señor de las Piedades,44,73,00014,
00142,Javier Heraud,14,280,00014,
00143,Asociación Artesanal El Misti,29,144,00014,
00144,Antonio José de Sucre,7,141,00014,
00145,San José,8,173,00014,
00146,Villa Vitarte-San Hilarión,36,89,00014,
00147,Granjeros San Lázaro,45,62,00014,
00148,Juan Velasco Alvarado A,22,209,00014,
00149,Villa El Conquistador II,23,134,00014,
00150,Cooperativa Cruce de Chilina,26,244,00014,
00151,Leones del Misti,38,307,00014,
00152,Villa Unión,40,165,00014,
00153,Independencia Zona A-I,78,653,00014,
00154,Villa El Mirador,13,181,00014,
00155,Garcilazo de la Vega,37,115,00014,
00156,Cooperativa Enatru,25,74,00014,
00157,Cooperativa Los Eucaliptos,27,288,00014,
00158,Alto Selva Alegre A,1,1431,00014,
00159,Villa Salvador,83,31,00014,
00160,Villa Florida,81,188,00014,
00161,AVIS Cruce de Chilina,21,232,00014,
00162,Ramiro Priale,10,715,00014,
00163,Pampa Chica,82,107,00014,
00164,Alto Selva Alegre C,3,963,00014,
00165,Independencia Zona A-II,79,460,00014,
00166,El Mirador Zona A,62,435,00014,
00167,1ro de Enero,77,177,00014,
00168,Villa Chachas,71,185,00014,
00169,Independencia Zona B,74,672,00014,
00170,Villa Confraternidad Zona A-I,87,384,00014,
00171,Cooperativa La Estrella,6,267,00014,
00172,Alto Selva Alegre B,2,1097,00014,
00173,Villa Asunción,70,356,00014,
00174,Asoc. El Conquistador,15,173,00014,
00175,AVIS Rafael Hoyos Rubios,28,758,00014,
00176,Villa Independiente Zona B,76,359,00014,
00177,Urb. Semirural Pachacutec sector VIII,16,489,00015,
00178,Urb. Semirural Pachacutec sector IV,21,471,00015,
00179,P.P.J.J. Mariscal Castilla,14,578,00015,
00180,José Santos Atahualpa,15,468,00015,
00181,Urb. Semirural Pachacutec VIII A,17,328,00015,
00182,Urb. Semirural Pachacutec III,20,338,00015,
00183,Urb. Semirural Pachacutec VII,24,333,00015,
00184,P.P.J.J. Alto Libertad Sector 18,37,199,00015,
00185,P.P.J.J. Alto Libertad Sector 17,40,394,00015,
00186,P.P.J.J. Alto Libertad Sector 14,43,343,00015,
00187,Veracruz,45,258,00015,
00188,Urb. La Libertad,47,1308,00015,
00189,P.P.J.J. Alto Libertad Sector 16,41,545,00015,
00190,José Galvez 1,51,101,00015,
00191,José Galvez 2,52,85,00015,
00192,Canco,79,11,,
00193,Murco,80,97,,
00194,Huanca - Murco,1,97,00018,
00195,Canco,1,11,00018,
00196,Huambo- Canco,1,11,00019,
00197,Urb. Río Seco,96,551,00015,
00198,Hernán Bedoya Forga I Etapa,236,436,00015,
